Project
CUTR-at-USF/HART-GTFS-realtimeGenerator
CUTR-at-USF/RegionalTransitArchitecture
CUTR-at-USF/gtfs-osm-sync
CUTR-at-USF/gtfs-realtime-validator
AfzalivE/Android-GTFS-Reader
CanalTP/chaos-proto
DianCom/GTFS
DonTomika/binary-gtfs
EdwardClementLee/transitNetwork
HNygard/kolumbus-gtfs
HSLdevcom/kalkati2gtfs
MindSea/gtfs2trekker
MoMenne/metrolink-stl-data
OneBusAway/onebusaway-gtfs-realtime-exporter
OneBusAway/onebusaway-gtfs-realtime-from-nextbus-cli
OneBusAway/onebusaway-gtfs-realtime-visualizer
OpenTransitTools/gtfs
OpenTransitTools/gtfsdb
OpenTransport/gtfs-csv2rdf
OpenTransport/linked-gtfs
TransitData/gtfs
TransitFeeds/GtfsToSql
WSDOT-GIS/GTFS.NET
WorldBank-Transport/Transitime
YourMapper/GTFS-realtime-JSON
acouch/transit-viz
alanjoyce/transit-visualization
alexmuro/api-gtfs
alexmuro/transit-analyst
alexmuro/viewer-gtfs
andybotting/ptv2gtfs
araichev/gtfstk
araichev/make_gtfs
availabs/livegtfs
availabs/transit_analyst
avilaton/gtfseditor
azavea/gtfs-parser
bakx/GTFS
bdon/go.gtfs
bernerdschaefer/gtfs
boundsj/gtfsnap
bretwalker/gtfs-realtime-display
chriswhong/GTFStoCartoDB
chriswhong/mta-realtime-test
codeforamerica/node-gtfs-zip-proxy
conveyal/geom2gtfs
conveyal/gtfs-lib
conveyal/gtfs-validator
crzwdjk/gtfstools
dahlbys/GTFSimple
darrkj/gtfs
davidef/GTFS-OSM-Import
devdsp/TransitVis
evansiroky/gtfs-sequelize
ed-g/gtfs-feed-archive
fgcartographix/gtfsdb
flibbertigibbet/patco-gtfs
fraczles/trans-feed-me
freretuc/gtfs-explorer
geops/gtfsman
geops/gtfsparser
geotrellis/geotrellis-transit
google/gtfs-realtime-bindings
harrytruong/gtfs_realtime_json
iRail/brail2gtfs
iRail/gtfs-tdt
ifyouaretea/GTFS
iiMarco/gtfs
jbspeakr/Maptitu
jcwong86/GTFS_Explore_Tool
jedhorne/Transit-Video-Project
jedhorne/py-gtfs-postgres
jpf18/TransXChange2GTFS
jprobinson/gtfs
justjkk/gtfs2pgrouting
k-nut/osm-gtfs-checker
karfai/octranspo-api
kasei/gtfs-rdf
kochab/GlassNavigator
kthompson23/SQL-Server---GTFS-parser-builder-
line72/subte
lovehandle/gtfs-orm
lsv/gtfs
mapourtransit/gtfs-maker
mark-lester/Stretchsoft
matteolc/GTFS-Helpers
mattwigway/schedule-editor
mauryquijada/gtfs-mysql
mbmccormick/GTFSEngine
mboos/animate-gtfs
mikeycgto/gtfs_parser
miraculixx/gtfsweb
mlreed328/gtfs-helper
mo3dev/gtfs
natronics/TriMet-Gtfs-Map
nkavanagh/gtfs-json
npaton/gogtfs
nprajilesh/gtfs
oSoc15/gtfs-rt-demo
oware/GtfsImporter
pannellr/gtfs_manager_old
parejkoj/pygtfs_realtime
patrickgreenwell/GTFS
perkinsms/Perl-GTFS
prashtx/ddot-updates
reshmaingavale/gtfs
rev3rend/GTFS_transit_visualizer
rombdn/ratp-gtfs-to-json
russellporter/Depart-App
sakarp/osm2gtfs
samuelmr/hslalert
samuelmr/hslposition
sangster/gtfs_engine
sangster/gtfs_reader
sbma44/py-gtfs-mysql
skywave/kv1validator
stanguy/Star-GTFS
steffenz/php-gtfs-mysql
tadejkrivec/GTFS
tamarasaurus/latemate
theelee13/node-gtfs-shapes-simplify
theelee13/node-gtfs2mongo
transformers/odot
transitland/mapzen-gtfs
trein/gtfs-java
twalcari/gtfs-filter
unmonastery/matera-gtfs
wbrenna/GTFSOffline
yencarnacion/tren2gtfs
